Gmt time,Open,High,Low,Close,Volume
05.07.2021 00:00:00.000,1.18556,1.18584,1.18534,1.18575,557650002.9564999
05.07.2021 00:15:00.000,1.18576,1.18609,1.18575,1.18587,275070000.0526
05.07.2021 00:30:00.000,1.18588,1.18604,1.18569,1.18601,278460000.6118
05.07.2021 00:45:00.000,1.18600,1.18603,1.18559,1.18572,520180003.1662
05.07.2021 01:00:00.000,1.18572,1.18584,1.18537,1.18537,745119997.0244001
05.07.2021 01:15:00.000,1.18539,1.18626,1.18537,1.18610,544399999.6185
05.07.2021 01:30:00.000,1.18611,1.18619,1.18582,1.18603,526020004.27259994
05.07.2021 01:45:00.000,1.18604,1.18624,1.18589,1.18602,556189996.7193999
05.07.2021 02:00:00.000,1.18601,1.18601,1.18567,1.18579,444280002.5938
05.07.2021 02:15:00.000,1.18579,1.18579,1.18533,1.18536,355410001.75479996
05.07.2021 02:30:00.000,1.18537,1.18551,1.18525,1.18528,349290005.6839
05.07.2021 02:45:00.000,1.18529,1.18535,1.18518,1.18533,177139999.38959998
05.07.2021 03:00:00.000,1.18534,1.18574,1.18534,1.18565,296439998.1498
05.07.2021 03:15:00.000,1.18567,1.18582,1.18563,1.18563,167029999.7329
05.07.2021 03:30:00.000,1.18565,1.18565,1.18529,1.18543,198359998.46460003
05.07.2021 03:45:00.000,1.18544,1.18561,1.18529,1.18530,223900000.334
05.07.2021 04:00:00.000,1.18530,1.18530,1.18513,1.18518,304760000.4673
05.07.2021 04:15:00.000,1.18519,1.18535,1.18519,1.18534,83150000.5724
05.07.2021 04:30:00.000,1.18535,1.18548,1.18534,1.18542,278880001.06810004
05.07.2021 04:45:00.000,1.18544,1.18576,1.18544,1.18569,242310002.92319998
05.07.2021 05:00:00.000,1.18566,1.18570,1.18551,1.18564,249620000.71999994
05.07.2021 05:15:00.000,1.18563,1.18592,1.18558,1.18589,182360001.4447
05.07.2021 05:30:00.000,1.18588,1.18595,1.18556,1.18559,411360000.84849995
05.07.2021 05:45:00.000,1.18561,1.18574,1.18527,1.18531,424750001.19229996
05.07.2021 06:00:00.000,1.18533,1.18595,1.18518,1.18562,877489988.327
05.07.2021 06:15:00.000,1.18563,1.18571,1.18531,1.18563,772849992.7522
05.07.2021 06:30:00.000,1.18564,1.18657,1.18563,1.18653,1297739990.2343
05.07.2021 06:45:00.000,1.18656,1.18664,1.18609,1.18632,932829998.0164
05.07.2021 07:00:00.000,1.18630,1.18636,1.18549,1.18579,1939700014.1144001
